PT,63035106
PSDB,33344512
PMDB,15870881
PSB,10460293
PSD,6004111
PTB,3190587
DEM,2892367
PP,2694191
PROS,2100405
PDT,1891141
PR,1852364
PSC,1196986
PRB,977997
SD,831305
PC do B,774213
PV,630157
PPS,441478
PT do B,405684
PSL,371760
PTN,326054
PSOL,319519
PEN,295146
PTC,266943
PHS,233314
PRP,198895
PMN,159706
PSDC,118133
PRTB,96667
PSTU,54218
PPL,28671
PCB,25628
PCO,4920
