PROS,23
PSDB,563
PSOL,51
PRTB,5
PSB,200
PT,493
PMN,14
PTC,10
PPS,79
PRP,16
PDT,96
PV,123
PEN,26
PSC,101
PHS,27
PTB,102
PSD,212
SD,55
PMDB,274
PT do B,11
PPL,2
PRB,157
PTN,37
PSDC,4
DEM,178
PC do B,60
PR,196
PP,139
PSL,21
