UF,CIDADE,PIB,POPULACAO,PIB_PERCAPITA
PR,VENTANIA,103164.28125,11239,9179.12988281
PR,BELA VISTA DA CAROBA,34405.11328125,4176,8238.76953125
PR,PORECATU,112631.171875,14189,7937.91992188
PR,ROSÁRIO DO IVAÍ,41184.69140625,5813,7084.93017578
PR,AMAPORÃ,55568.5390625,5447,10201.6796875
PR,SÃO CARLOS DO IVAÍ,132456.75,5990,22112.98046875
PR,BANDEIRANTES,292894.5,32994,8877.20019531
PR,QUATRO BARRAS,530300625,19277,27509.5
PR,QUERÊNCIA DO NORTE,122119.84375,12306,9923.59960938
PR,RESERVA DO IGUAÇU,65388.59765625,7449,8778.16992188
PR,IMBAÚ,65769.6796875,12040,5462.60009766
PR,DOUTOR ULYSSES,83953.4140625,6145,13662.0703125
PR,ITAPERUÇU,174329.203125,23501,7417.95019531
PR,JUNDIAÍ DO SUL,35101.26953125,3777,9293.4296875
PR,NOVA ESPERANÇA,312743.09375,26591,11761.24023438
PR,RIBEIRÃO CLARO,116140.796875,11246,10327.29980469
PR,SÃO JOSÉ DA BOA VISTA,64582.859375,6320,10218.80957031
PR,MOREIRA SALES,145827.890625,13238,11015.86035156
PR,MARILUZ,75293.65625,10861,6932.47998047
PR,COLORADO,382881.75,21789,17572.25
PR,PALMITAL,107584.8203125,15548,6919.52978516
PR,MAMBORÊ,263614625,14332,18393.4296875
PR,ALMIRANTE TAMANDARÉ,577882.25,97523,5925.60009766
PR,FIGUEIRA,60627.41015625,8485,7145.25
PR,BOA VENTURA DE SÃO ROQUE,88497.1484375,6964,12707.79980469
PR,JATAIZINHO,81946.609375,11604,7061.93017578
PR,NOVA ALIANÇA DO IVAÍ,21147.484375,1434,14747.20019531
PR,SÃO JOSÉ DOS PINHAIS,11511811,279297,41217.1015625
PR,GUAPIRAMA,41972.16796875,3645,11515
PR,SULINA,42495.37109375,3434,12374.88964844
PR,SANTA INÊS,20552.97460938,1882,10920.8203125
PR,PALMAS,415964.96875,43409,9582.45996094
PR,SANTA HELENA,287765.59375,24198,11892.12011719
PR,CASCAVEL,4991770,296254,16849.63085938
PR,TERRA RICA,177265.890625,15060,11770.63964844
PR,CORNÉLIO PROCÓPIO,698087.4375,48544,14380.50976562
PR,MARILÂNDIA DO SUL,144476.171875,9197,15709.04980469
PR,ITAÚNA DO SUL,27650.56640625,3621,7636.16992188
PR,XAMBRÊ,43094.00390625,5829,7393.04003906
PR,ARIRANHA DO IVAÍ,26521.0625,2533,10470.21972656
PR,BOM SUCESSO DO SUL,62097.67578125,3075,20194.36914062
PR,QUINTA DO SOL,67906.765625,5189,13086.6796875
PR,MISSAL,124092.046875,10760,11532.71972656
PR,PONTAL DO PARANÁ,188657.046875,17820,10586.80957031
PR,ARARUNA,186316.640625,12962,14374.0703125
PR,BELA VISTA DO PARAÍSO,198103,15496,12784.13964844
PR,TERRA ROXA,257026.0625,16734,15359.50976562
PR,TAPIRA,58383.55078125,5904,9888.80957031
PR,MANDIRITUBA,219810,21885,10043.87011719
PR,FAZENDA RIO GRANDE,482596.4375,80868,5967.70996094
PR,ITAMBARACÁ,62068.484375,7128,8707.70019531
PR,CÉU AZUL,268273.78125,11413,23505.98046875
PR,IRACEMA DO OESTE,36552.37109375,2567,14239.33007812
PR,REALEZA,207936.109375,16288,12766.21972656
PR,ITAPEJARA D'OESTE,169515.65625,11270,15041.3203125
PR,QUATIGUÁ,59380.734375,7148,8307.3203125
PR,RENASCENÇA,132499.78125,6937,19100.43945312
PR,PORTO BARREIRO,51526.46875,3768,13674.75
PR,MARIA HELENA,43782.53515625,6115,7159.85986328
PR,SANTO ANTÔNIO DO SUDOESTE,154663.96875,19386,7978.12988281
PR,MUNHOZ DE MELO,32381.78515625,3714,8718.83984375
PR,CIANORTE,990019.5625,68629,14425.66992188
PR,MIRADOR,31359.13867188,2371,13226.12011719
PR,NOSSA SENHORA DAS GRAÇAS,33317.90625,4055,8216.5
PR,PARANAGUÁ,5443256,139796,38937.140625
PR,CORBÉLIA,253314.109375,15850,15981.95996094
PR,PALOTINA,877316.5625,28966,30287.80078125
PR,CAMPO BONITO,58019.60546875,4385,13231.37988281
PR,MARQUINHO,40264.09375,5258,7657.68017578
PR,PARANAPOEMA,26236.05664062,2818,9310.16992188
PR,RESERVA,231634,25148,9210.83007812
PR,ASSAÍ,206111.453125,16112,12792.41992188
PR,CARLÓPOLIS,106915.7578125,13581,7872.45019531
PR,TRÊS BARRAS DO PARANÁ,132651.53125,12088,10973.8203125
PR,SABÁUDIA,71359.15625,5642,12647.84960938
PR,PLANALTO,138553.546875,13983,9908.70996094
PE,CACHOEIRINHA,80433.8046875,18123,4438.22021484
PE,FERNANDO DE NORONHA,26980.71484375,3108,8681.04980469
PE,ALAGOINHA,57886.21484375,14913,3881.59008789
PE,BARRA DE GUABIRABA,46595.87109375,13623,3420.37988281
PE,PALMARES,387086.59375,58819,6580.97998047
PE,CABROBÓ,188859.3125,30432,6205.95019531
PE,ANGELIM,41266.19140625,10385,3973.62988281
PE,SANTA MARIA DO CAMBUCÁ,48165.3125,12942,3721.62988281
PE,LAGOA DO OURO,48624.8359375,12244,3971.32006836
PE,JOAQUIM NABUCO,96163.34375,16498,5828.79003906
PE,SANTA CRUZ,53805.15234375,14782,3639.90991211
PE,PETROLINA,2283346.25,281851,8101.25
PE,BEZERROS,285545.96875,58354,4893.33984375
PE,LIMOEIRO,269157125,57243,4702.00976562
PE,GOIANA,634199.5625,74424,8521.44042969
PE,IGUARACI,45478.7890625,12397,3668.5300293
PE,TACARATU,70767.1484375,22231,3183.26000977
PE,ÁGUA PRETA,127078.7265625,30792,4127
PE,VENTUROSA,79114.109375,16706,4735.66992188
PE,LAGOA DO ITAENGA,163927.328125,20618,7950.68994141
PE,CUPIRA,92327.234375,22783,4052.45996094
PE,TUPARETAMA,36445.796875,8678,4199.79003906
PE,CAMARAGIBE,618538.0625,143210,4319.10009766
PE,ARARIPINA,342256.96875,79877,4284.79980469
PE,ÁGUAS BELAS,151340.671875,39672,3814.80004883
PE,TAMANDARÉ,112841.03125,18999,5939.31005859
PE,SANTA MARIA DA BOA VISTA,234438.703125,41745,5615.97021484
PE,PAULISTA,1839665.75,319373,5760.24023438
PE,CAPOEIRAS,82538.9375,19936,4140.20019531
PE,SÃO JOSÉ DO BELMONTE,121956.046875,34118,3574.54003906
PE,BELO JARDIM,698774375,74028,9439.33007812
PE,SAIRÉ,61301.90234375,14194,4318.85986328
PE,NAZARÉ DA MATA,189960.03125,30185,6293.18994141
PE,BOM JARDIM,155675.359375,40924,3804.01000977
PE,CORRENTES,69621.140625,16686,4172.43017578
PE,GRANITO,31242.37304688,6955,4492.06982422
PE,SALGADINHO,26129.82421875,8214,3181.12988281
PE,TACAIMBÓ,50004.21484375,12273,4074.33007812
PE,JATOBÁ,54845.26953125,14452,3795
PE,VERTENTE DO LÉRIO,36315.22265625,7464,4865.37988281
PE,GLÓRIA DO GOITÁ,100163.0703125,28289,3540.70996094
PE,FLORES,78994.1953125,23034,3429.45996094
PE,CAMUTANGA,111614.59375,8214,13588.33984375
PE,IBIRAJUBA,38436.953125,7833,4907.04980469
PE,ITACURUBA,19219.95507812,4358,4410.27001953
PE,LAGOA DO CARRO,59924.1796875,15230,3934.61010742
PE,SERRA TALHADA,543937.5,80294,6774.31982422
PE,JATAÚBA,59477.77734375,15365,3870.98999023
PE,SALGUEIRO,315104.03125,55435,5684.20996094
PE,POMBOS,106317.171875,22120,4806.37988281
PE,TRACUNHAÉM,63237.58984375,13265,4767.25
PE,JOÃO ALFREDO,121253.921875,29875,4058.70996094
PE,CHÃ GRANDE,92091.6328125,17924,5137.89990234
PE,SÃO LOURENÇO DA MATA,430601.3125,99945,4308.37988281
PE,SANHARÓ,82603.203125,18723,4411.85986328
PE,CARNAUBEIRA DA PENHA,44609.3125,12451,3582.79003906
PE,BELÉM DE MARIA,37656.3515625,9703,3880.89990234
PE,IPOJUCA,7082403,75512,93791.75
PE,PESQUEIRA,290683.65625,64454,4509.93994141
PE,RIBEIRÃO,211137.0625,39317,5370.12011719
PE,ITAPISSUMA,558914875,24406,22900.72070312
PE,CALÇADO,54108.05078125,11619,4656.85986328
PE,SALOÁ,62361.6015625,15547,4011.16992188
PE,CATENDE,147808.4375,35251,4193.02978516
PE,PANELAS,88732.6171875,25500,3479.70996094
PE,OLINDA,2601107.5,397268,6547.49023438
PE,MANARI,61100.4453125,18097,3376.27001953
PE,CALUMBI,23538.6875,7977,2950.82006836
PE,MACHADOS,45951.76171875,11802,3893.56005859
PE,AMARAJI,89110.390625,20509,4344.93994141
PE,POÇÃO,42065.83984375,11503,3656.94995117
PE,PEDRA,121027.7890625,20788,5822
PE,PEDRA,121027.7890625,20788,5822
PE,LAGOA DOS GATOS,54602.00390625,15567,3507.55004883
PE,FERREIROS,56014.265625,11456,4889.50976562
PE,SANTA FILOMENA,45260.94140625,14694,3080.22998047
PE,SANTA TEREZINHA,36137.47265625,10184,3548.45996094
PE,ALIANÇA,158148.59375,35235,4488.39013672
PE,PALMEIRINA,33307.78515625,8481,3927.34008789
PE,JUCATI,51672.58984375,11086,4661.06982422
PE,AGRESTINA,107200.359375,22591,4745.27001953
PE,TAQUARITINGA DO NORTE,104318.1484375,22657,4604.22998047
PE,PETROLÂNDIA,537801375,32568,16513.1796875
PE,ABREU E LIMA,747228.4375,96266,7762.12011719
PE,MOREILÂNDIA,42880.90234375,10584,4051.47998047
PE,BUÍQUE,251538.109375,53272,4721.77001953
PE,BONITO,182380.953125,40832,4466.62011719
PE,VITÓRIA DE SANTO ANTÃO,1023204625,126399,8095.04003906
PE,SIRINHAÉM,217645.296875,38610,5637.02001953
PE,IGARASSU,1057750375,100191,10557.33984375
PE,TRIUNFO,57674.40234375,15770,3657.2199707
PE,JUREMA,60705.8203125,15552,3903.40991211
PE,XEXÉU,57439.78125,14887,3858.38989258
PE,QUIXABA,26894.39648438,7116,3779.42993164
PE,ILHA DE ITAMARACÁ,94137.2109375,18658,5045.41015625
PE,PRIMAVERA,68269.6796875,12364,5521.64990234
PE,ITAÍBA,152252.21875,27631,5510.20019531
PE,LAJEDO,168724875,34809,4847.16015625
PE,SÃO JOAQUIM DO MONTE,87932.0546875,21872,4020.30004883
PE,BUENOS AIRES,51370.76171875,13675,3756.55004883
PE,IPUBI,109918.828125,27353,4018.5300293
PE,SÃO JOSÉ DA COROA GRANDE,72025.234375,18555,3881.7199707
PE,PARNAMIRIM,89271.609375,19850,4497.31005859
PE,FREI MIGUELINHO,52487.42578125,14855,3533.32006836
PE,BREJO DA MADRE DE DEUS,161963.40625,42250,3833.44995117
PE,CONDADO,98794625,24403,4048.45996094
PE,SERRITA,68741.2734375,18958,3625.97998047
PE,SURUBIM,265122.8125,56795,4668.06982422
PE,JABOATÃO DOS GUARARAPES,7068777.5,687688,10279.04980469
PE,RIO FORMOSO,146614.40625,21815,6720.81005859
PE,MARAIAL,82864.140625,12303,6735.27978516
PE,VICÊNCIA,155211.25,27883,5566.52001953
PE,GRAVATÁ,382127.21875,75229,5079.52001953
PE,JAQUEIRA,47317.8203125,12642,3742.90991211
PE,LAGOA GRANDE,200862.234375,22408,8963.86035156
PE,ESCADA,327138.03125,62604,5225.50976562
PE,OROBÓ,91671.5703125,22239,4122.10986328
PE,BREJINHO,26529.21679688,7369,3600.11010742
PE,,86340.6015625,19026,4538.02978516
PE,ITAPETIM,49816.1640625,14063,3542.36010742
PE,AFOGADOS DA INGAZEIRA,174596.234375,35528,4914.33007812
PE,SERTÂNIA,161626.96875,35914,4500.39013672
PE,JUPI,70330.21875,14461,4863.43994141
PE,PASSIRA,105706.2578125,28518,3706.64990234
PE,BODOCÓ,135253.546875,34988,3865.70996094
PE,RECIFE,24835340,1561659,15903.1796875
PE,BELÉM DE SÃO FRANCISCO,98158.421875,21342,4599.31005859
PE,CHÃ DE ALEGRIA,43013.71875,12185,3530.05004883
PE,IATI,70813.296875,18350,3859.04003906
PE,BETÂNIA,42571.109375,12011,3544.34008789
PE,TORITAMA,151669125,33206,4567.52001953
PE,SOLIDÃO,22864.5859375,6123,3734.20996094
PE,ARCOVERDE,353226.59375,68000,5194.50976562
PE,TABIRA,99592.4375,27219,3658.92993164
PE,CARUARU,2420401.5,298501,8108.52001953
PE,SANTA CRUZ DA BAIXA VERDE,36680.328125,12209,3004.37011719
PE,SANTA CRUZ DO CAPIBARIBE,408839375,80330,5089.5
PE,CANHOTINHO,92529.078125,24847,3723.94995117
PE,VERDEJANTE,37193.05078125,10098,3683.20996094
PE,CAETÉS,93925.2890625,26386,3559.65991211
PE,ALTINHO,80618.5546875,22427,3594.70996094
PE,FLORESTA,204670.65625,28100,7283.64990234
PE,PAUDALHO,222534.765625,47521,4682.87011719
PE,AFRÂNIO,65477.71484375,17445,3753.37988281
PE,GARANHUNS,949338.9375,131313,7229.58984375
PE,CEDRO,43993.83984375,10784,4079.55004883
PE,BARREIROS,171023.03125,43911,3894.77001953
PE,FEIRA NOVA,70406.28125,20052,3511.18994141
PE,MORENO,257636.234375,55659,4628.83007812
PE,OURICURI,266451.5,66978,3978.18994141
PE,CORTÊS,78022.34375,11712,6661.74023438
PE,INAJÁ,67166.828125,14729,4560.18017578
PE,ITAQUITINGA,71829.3203125,15507,4632.06005859
PE,CABO DE SANTO AGOSTINHO,3826487.25,171583,22301.08984375
PE,OROCÓ,101487.140625,14279,7107.43994141
PE,VERTENTES,65295.19921875,18186,3590.40991211
PE,TEREZINHA,26299.45703125,6774,3882.40991211
PE,CARPINA,427632.9375,68070,6282.25
PE,INGAZEIRA,21623.85351562,4561,4741.02978516
PE,EXU,122558.078125,31086,3942.55004883
PE,SÃO BENTO DO UNA,267400.34375,49372,5416.02978516
PE,BREJÃO,50748.40234375,9780,5189
PE,ARAÇOIABA,54776.1953125,17484,3132.92993164
PE,QUIPAPÁ,98738.21875,25603,3856.51000977
PE,PARANATAMA,52088.41796875,12441,4186.83984375
PE,SÃO BENEDITO DO SUL,38045.48828125,10838,3510.37988281
PE,MACAPARANA,96728.0078125,24031,4025.12988281
PE,CUSTÓDIA,161101.578125,33874,4755.91015625
PE,ITAMBÉ,175518.515625,36126,4858.50976562
PE,CUMARU,65920.3203125,13812,4772.68017578
PE,CAMOCIM DE SÃO FÉLIX,67847.71875,16574,4093.62011719
PE,SÃO JOSÉ DO EGITO,140408.234375,31792,4416.45996094
PE,RIACHO DAS ALMAS,88251.09375,18930,4661.97021484
PE,IBIMIRIM,122712.40625,29018,4228.83984375
PE,SÃO JOÃO,94844.265625,22087,4294.12011719
PE,SÃO VICENTE FERRER,73439.6015625,17333,4236.97998047
PE,CASINHAS,51537.203125,14798,3482.70996094
PE,TERRA NOVA,73080.0390625,9801,7456.39013672
PE,DORMENTES,72215.515625,16462,4386.79980469
PE,SÃO CAITANO,129669,36336,3568.61010742
PE,TRINDADE,108724.109375,26250,4141.87011719
PE,BOM CONSELHO,194511.734375,45250,4298.60009766
PE,MIRANDIBA,58800.2265625,13810,4257.79980469
PE,CARNAÍBA,65659.7578125,19155,3427.81005859
PE,TIMBAÚBA,385873625,51770,7453.60986328
PE,GAMELEIRA,102698.8984375,27823,3691.14990234
PI,NAZÁRIA,20951.38085938,7895,2653.75
PI,TERESINA,8700461,802537,10841.20019531
PI,AMARANTE,65322.88671875,17892,3650.94995117
PI,INHUMA,62012.0234375,15490,4003.36010742
PI,AROEIRAS DO ITAIM,8614.79785156,2759,3122.42993164
PI,DOM INOCÊNCIO,25457.23046875,10795,2358.23999023
PI,PRATA DO PIAUÍ,10738.21386719,3260,3293.92993164
PI,ALEGRETE DO PIAUÍ,21006.09179688,4595,4571.50976562
PI,LAGOA ALEGRE,24826.51953125,8210,3023.93994141
PI,CURIMATÁ,40100.8359375,10765,3725.11010742
PI,PASSAGEM FRANCA DO PIAUÍ,14411.97558594,4246,3394.25
PI,ALAGOINHA DO PIAUÍ,27277.73046875,7736,3526.08007812
PI,COCAL,79448.5,27220,2918.75
