UF,CIDADE,PIB,POPULACAO,PIB_PERCAPITA
AC,MARECHAL THAUMATURGO,109181.8671875,14275,7648.47021484
AC,SENADOR GUIOMARD,217153.859375,19697,11024.71972656
AC,ASSIS BRASIL,48347.30078125,5662,8538.91015625
AC,EPITACIOLÂNDIA,129641.09375,14224,9114.25
AC,MANOEL URBANO,61478.73046875,7505,8191.70019531
AC,TARAUACÁ,258505.0625,33883,7629.33984375
AC,MÂNCIO LIMA,103294.7421875,14774,6991.66015625
AC,PLÁCIDO DE CASTRO,204410.5625,18235,11209.79003906
AC,SANTA ROSA DO PURUS,28091.17382812,4358,6445.89013672
AC,CRUZEIRO DO SUL,684349.25,77004,8887.19042969
AC,FEIJÓ,239317.046875,32261,7418.14990234
AC,SENA MADUREIRA,371556.0625,36166,10273.62988281
AC,CAPIXABA,89052.6796875,9287,9588.95996094
AC,RIO BRANCO,3837370.75,305954,12542.30957031
AC,BRASILÉIA,194979.828125,20238,9634.33984375
AC,ACRELÂNDIA,151120.015625,12241,12345.40039062
AC,PORTO ACRE,160340.78125,14682,10920.91015625
AC,BUJARI,88708.03125,6772,13099.24023438
AC,PORTO WALTER,64432.35546875,8855,7276.37988281
AC,RODRIGUES ALVES,153169.609375,13460,11379.61035156
AC,XAPURI,150262.34375,15079,9965.00976562
AC,JORDÃO,41673.13671875,6520,6391.58984375
AL,DOIS RIACHOS,35078.25390625,11200,3131.98999023
AL,BELÉM,19550.015625,5083,3846.15991211
AL,SANTANA DO MUNDAÚ,52134.53515625,12039,4330.47021484
AL,CAMPO ALEGRE,182361.03125,47209,3862.84008789
AL,PASSO DE CAMARAGIBE,59784.6875,14261,4192.18017578
AL,MARECHAL DEODORO,620477.5,47623,13028.95019531
AL,SÃO MIGUEL DOS MILAGRES,29789.48828125,7601,3919.14990234
AL,OLHO D'ÁGUA DO CASADO,27759.3671875,8517,3259.29003906
AL,PAULO JACINTO,24402.88085938,7772,3139.85009766
AL,PILAR,174139.0625,32655,5332.68994141
AL,CACIMBINHAS,39280.7421875,10182,3857.86010742
AL,JACUÍPE,29361.71679688,7045,4167.74023438
AL,MINADOR DO NEGRÃO,22713.8515625,5292,4292.10986328
AL,ANADIA,72170.7265625,17740,4068.25
AL,SENADOR RUI PALMEIRA,35231.92578125,13110,2687.40991211
AL,PARICONHA,32510.77148438,10539,3084.81005859
AL,MATA GRANDE,70679.9765625,25309,2792.67993164
AL,MESSIAS,62115.51171875,15899,3906.87988281
AL,TAQUARANA,67490.1875,18848,3580.76000977
AL,TEOTÔNIO VILELA,186967.0625,41935,4458.5
AL,CANAPI,53345.25390625,18397,2899.66992188
AL,OLHO D'ÁGUA GRANDE,16447.203125,4963,3313.95996094
AL,BRANQUINHA,42036.96875,12215,3441.41992188
AL,MAJOR ISIDORO,73942.796875,19530,3786.11010742
AL,COLÔNIA LEOPOLDINA,106579.5234375,20181,5281.18017578
AL,CORURIPE,463296.53125,53369,8681
AL,NOVO LINO,47015875,12449,3776.67993164
AL,ÁGUA BRANCA,59232.4921875,19989,2963.25
AL,PALMEIRA DOS ÍNDIOS,358377.4375,72564,4938.77978516
AL,BATALHA,66246.3359375,16919,3915.5
AL,IBATEGUARA,56599.32421875,15863,3568.01000977
AL,UNIÃO DOS PALMARES,400757.65625,62727,6388.91992188
AL,OURO BRANCO,32711.80273438,11504,2843.52001953
AL,JUNQUEIRO,98153.7734375,25290,3881.12988281
AL,SÃO BRÁS,27549.03125,7062,3901.02001953
AL,TRAIPU,68499.6875,25854,2649.47998047
AL,CAMPESTRE,25780.65820312,6178,4172.97998047
AL,JACARÉ DOS HOMENS,30879.77734375,5902,5232.08984375
AL,OLIVENÇA,33409.52734375,10865,3074.9699707
AL,BARRA DE SANTO ANTÔNIO,53292.31640625,14435,3691.87988281
AL,BOCA DA MATA,152409.21875,26030,5855.14013672
AL,PORTO CALVO,131020.25,26044,5030.72998047
AL,LAGOA DA CANOA,60461.83984375,18196,3322.81005859
AL,CAJUEIRO,77771.0703125,20825,3734.51000977
AL,SATUBA,56080.00390625,14779,3794.57006836
AL,SÃO SEBASTIÃO,123021.7890625,32181,3822.81005859
AL,MARAGOGI,115097.2109375,26978,4266.33984375
AL,MARIBONDO,55018.47265625,14144,3889.87988281
AL,INHAPI,49013.73046875,18166,2698.10009766
AL,DELMIRO GOUVEIA,276627.6875,48462,5708.14013672
AL,PORTO DE PEDRAS,37205.45703125,10649,3493.80004883
AL,SANTA LUZIA DO NORTE,53447.09765625,7572,7058.52001953
AL,FLEXEIRAS,45588.03125,12290,3709.36010742
AL,ROTEIRO,38793.6640625,6864,5651.75976562
AL,JUNDIÁ,21836.53515625,4698,4648.04980469
AL,TANQUE D'ARCA,18489.390625,5766,3206.62011719
AL,ARAPIRACA,1658976875,210521,7880.33984375
AL,OLHO D'ÁGUA DAS FLORES,70390.265625,20555,3424.47998047
AL,VIÇOSA,95608.140625,26830,3563.47998047
AL,MARAVILHA,33863.60546875,10110,3349.52001953
AL,PÃO DE AÇÚCAR,85304.7265625,24534,3477
AL,GIRAU DO PONCIANO,111610.8828125,36904,3024.36010742
AL,CHÃ PRETA,26925.03125,7073,3806.72998047
AL,MONTEIRÓPOLIS,22985.1328125,7292,3152.10009766
AL,PALESTINA,15465.23339844,5071,3049.73999023
AL,CAPELA,73067.953125,17366,4207.52978516
AL,FELIZ DESERTO,34067.5078125,4568,7457.85986328
AL,SÃO LUÍS DO QUITUNDE,179677.546875,32871,5466.14013672
AL,PIRANHAS,73379.25,25107,2922.65991211
AL,SÃO JOSÉ DA TAPERA,85124.4453125,31361,2714.34008789
AL,MATRIZ DE CAMARAGIBE,102110.5078125,25493,4005.42993164
AL,ATALAIA,208935.734375,53023,3940.4699707
AL,QUEBRANGULO,43188.9765625,11566,3734.12988281
AL,JOAQUIM GOMES,67053.9296875,22436,2988.67993164
AL,LIMOEIRO DE ANADIA,74192875,26415,2808.73999023
AL,BARRA DE SÃO MIGUEL,47460.00390625,7572,6267.83007812
AL,JAPARATINGA,30499.59179688,7763,3928.84008789
AL,ESTRELA DE ALAGOAS,48915.7578125,17251,2835.5300293
AL,POÇO DAS TRINCHEIRAS,36296.9296875,12463,2912.37011719
AL,PORTO REAL DO COLÉGIO,59886.03515625,18453,3245.33007812
AL,JEQUIÁ DA PRAIA,108508.890625,11615,9342.12988281
AL,RIO LARGO,364321.25,67797,5373.70996094
AL,PIAÇABUÇU,66745.765625,18087,3690.26000977
AL,MACEIÓ,10264218,936314,10962.37011719
AL,COITÉ DO NÓIA,31372.484375,11127,2819.48999023
AL,CRAÍBAS,73514.7890625,23294,3155.94995117
AL,BELO MONTE,30603.25585938,7510,4075
AL,COQUEIRO SECO,19754.61328125,5525,3575.5
AL,MAR VERMELHO,15055.91699219,4131,3644.62011719
AL,JARAMATAIA,23547.14648438,6140,3835.04003906
AL,FEIRA GRANDE,67006.5546875,21824,3070.32006836
AL,SÃO MIGUEL DOS CAMPOS,524210.28125,54064,9696.11035156
AL,PARIPUEIRA,44169.84765625,10222,4321.06005859
AL,IGACI,81381.578125,25865,3146.39990234
AL,CARNEIROS,24778.15429688,8463,2927.82006836
AL,CAMPO GRANDE,32337.46289062,9909,3263.43994141
AL,PENEDO,313189.03125,61082,5127.35009766
AL,IGREJA NOVA,129697.7734375,23807,5447.87988281
AL,SANTANA DO IPANEMA,193882.71875,43699,4436.77978516
AL,MURICI,109038.859375,26918,4050.7800293
AL,SÃO JOSÉ DA LAJE,147755.59375,23112,6393.02001953
AL,PINDOBA,14839.16210938,3246,4571.52001953
AP,ITAUBAL,32050.08203125,3650,8780.83984375
AP,PRACUÚBA,32157.5078125,3658,8791.00976562
AP,VITÓRIA DO JARI,99332.9140625,11519,8623.40039062
AP,CALÇOENE,107248.828125,9291,11543.29980469
AP,PEDRA BRANCA DO AMAPARI,104478.9921875,8182,12769.37011719
AP,OIAPOQUE,230480.78125,20962,10995.16992188
AP,AMAPÁ,81456.1328125,7802,10440.41992188
AP,PORTO GRANDE,144603.140625,14951,9671.79980469
AP,MAZAGÃO,114913.046875,14655,7841.22021484
AP,LARANJAL DO JARI,323042.5,40357,8004.62011719
AP,SANTANA,1104524875,97220,11361.08984375
AP,CUTIAS,50685.06640625,4652,10895.33007812
AP,SERRA DO NAVIO,109795.296875,3982,27572.90039062
AP,FERREIRA GOMES,69937.7265625,5475,12774.00976562
AP,TARTARUGALZINHO,119988.0234375,13769,8714.36035156
AP,MACAPÁ,4679694,366484,12769.16015625
AM,ENVIRA,69843.03125,17614,3965.19995117
AM,NOVA OLINDA DO NORTE,108783.34375,31012,3507.7800293
AM,MANAUS,40486108,1738641,23286.06054688
AM,RIO PRETO DA EVA,216235.546875,26847,8054.37011719
AM,COARI,1103350125,66991,16470.11914062
AM,APUÍ,146993.34375,18597,7904.14013672
AM,URUCARÁ,69487.6171875,15780,4403.52001953
AM,AUTAZES,136269.859375,31774,4288.72021484
AM,ANAMÃ,41735.99609375,8673,4812.18017578
AM,NOVO AIRÃO,61709.34765625,15915,3877.42993164
AM,ITAMARATI,36895.9296875,8281,4455.49023438
AM,BENJAMIN CONSTANT,116750.1015625,31195,3742.59008789
AM,TABATINGA,202660.984375,47948,4226.68017578
AM,CODAJÁS,84273.59375,16291,5173.02001953
AM,TONANTINS,67153.0078125,20286,3310.31005859
AM,BOCA DO ACRE,149755.40625,31221,4796.62011719
AM,EIRUNEPÉ,123005.4375,30901,3980.62988281
AM,MANAQUIRI,82990.75,20836,3983.05004883
AM,TEFÉ,293563.5,64671,4539.33984375
AM,NHAMUNDÁ,86443.9765625,18474,4679.22021484
AM,IRANDUBA,188022.75,33884,5549.00976562
AM,BOA VISTA DO RAMOS,53763.04296875,13994,3841.86010742
AM,ITACOATIARA,919967375,89440,10285.86035156
AM,ALVARÃES,53516.7578125,13566,3944.91992188
AM,BORBA,119983.046875,32496,3692.23999023
AM,AMATURÁ,34505.6796875,8828,3908.65991211
AM,GUAJARÁ,63766.28515625,15031,4242.31982422
AM,CAREIRO DA VÁRZEA,112120.0625,24704,4538.54003906
AM,ATALAIA DO NORTE,54603.19140625,14715,3710.7199707
AM,URUCURITUBA,67527.9609375,18541,3642.09008789
AM,NOVO ARIPUANÃ,85700.7265625,18952,4521.99023438
AM,PRESIDENTE FIGUEIREDO,304599375,26282,11589.66015625
AM,CAREIRO,117802.6171875,32638,3609.37011719
AM,JURUÁ,40090.02734375,9275,4322.37011719
AM,MAUÉS,226922.828125,49666,4568.97998047
AM,PAUINI,69596.59375,19111,3641.69995117
AM,TAPAUÁ,87235.609375,19884,4387.22998047
AM,FONTE BOA,115856.546875,18803,6161.60009766
AM,SÃO PAULO DE OLIVENÇA,109349.2890625,32958,3317.84008789
AM,MARAÃ,109074.7265625,18135,6014.60009766
AM,ITAPIRANGA,37870.4453125,9733,3890.92993164
AM,CAAPIRANGA,45974.66015625,11170,4115.91015625
AM,CANUTAMA,49871.54296875,11948,4174.04980469
AM,UARINI,60242.65625,10108,5959.89990234
AM,JAPURÁ,25534.7109375,4238,6025.18017578
AM,SILVES,66035.21875,8543,7729.75
AM,MANACAPURU,397942.40625,86472,4601.97998047
AM,IPIXUNA,85468.484375,18202,4695.54980469
AM,SANTO ANTÔNIO DO IÇÁ,94013,30351,3097.5300293
AM,BERURI,78535.7421875,14705,5340.75
AM,MANICORÉ,239006.1875,46773,5109.91992188
AM,SÃO GABRIEL DA CACHOEIRA,202045.265625,41885,4823.81005859
AM,SÃO SEBASTIÃO DO UATUMÃ,32970.34765625,9268,3557.43994141
AM,JUTAÍ,68712,16791,4092.18994141
AM,SANTA ISABEL DO RIO NEGRO,56945.6171875,18506,3077.13989258
AM,HUMAITÁ,225637.4375,40735,5539.14990234
AM,ANORI,74464.953125,14688,5069.77978516
AM,BARCELOS,77717.203125,25410,3058.5300293
AM,PARINTINS,460521.75,107250,4293.91015625
AM,CARAUARI,120910.09375,26187,4617.18017578
AM,BARREIRINHA,101256.609375,28162,3595.51000977
AM,LÁBREA,394562.34375,39393,10016.04980469
BA,TREMEDAL,57883.9921875,18433,3140.23999023
BA,MAETINGA,23558.44726562,7884,2988.12988281
BA,IBIRAPUÃ,74997.40625,7893,9501.75976562
BA,GOVERNADOR MANGABEIRA,92903.8203125,20668,4495.06005859
BA,IBITITÁ,62366.88671875,19410,3213.12988281
BA,SÁTIRO DIAS,75908.4609375,18919,4012.29003906
BA,IRAJUBA,29224.98828125,7666,3812.29003906
BA,ITAQUARA,33105.69921875,7743,4275.56982422
BA,CANSANÇÃO,112228.7734375,34093,3291.84008789
BA,ITAPARICA,102586.6484375,20796,4933
BA,NOVA REDENÇÃO,28909.56835938,9318,3102.55004883
BA,IBICUÍ,69475.15625,16464,4219.81982422
BA,SANTA RITA DE CÁSSIA,91663,27528,3329.81005859
BA,NORDESTINA,35456.31640625,12670,2798.44995117
BA,CORONEL JOÃO SÁ,76828.921875,18408,4173.66992188
BA,PEDRO ALEXANDRE,58842.01171875,17698,3324.7800293
BA,PRADO,285453.96875,26016,10972.25
BA,IAÇU,109799.953125,28602,3838.88989258
BA,ARACI,172730.890625,54713,3157.04003906
BA,CORIBE,63455.30859375,14895,4260.18017578
BA,ARAÇAS,97321.03125,12209,7971.25
BA,CONCEIÇÃO DO ALMEIDA,69316.4296875,17974,3856.47998047
BA,BAIANÓPOLIS,60239.99609375,14195,4243.75
BA,CRUZ DAS ALMAS,387271.40625,57098,6782.56982422
BA,FEIRA DE SANTANA,6358135.5,591707,10745.41015625
BA,JABORANDI,161163.734375,8895,18118.4609375
BA,SANTALUZ,129238.140625,35416,3649.14990234
BA,ALAGOINHAS,1298216375,137810,9420.33984375
BA,ITIRUÇU,68143.1640625,16827,4049.62988281
BA,MULUNGU DO MORRO,39825.95703125,13879,2869.51000977
BA,CABACEIRAS DO PARAGUAÇU,58247.78515625,18569,3136.83007812
BA,TANQUE NOVO,70092.859375,16466,4256.81982422
BA,PLANALTINO,31850.30078125,8880,3586.75
BA,SERRINHA,393287.0625,73859,5324.83984375
BA,IPIAÚ,271794.59375,43723,6216.27978516
BA,CONCEIÇÃO DO JACUÍPE,404286.28125,28769,14052.83984375
BA,IBIRAPITANGA,94739.7421875,24223,3911.14990234
BA,ITAPETINGA,658192.25,66665,9873.12988281
BA,UMBURANAS,48177.484375,17096,2818.06005859
BA,BREJÕES,92945.0078125,12446,7467.85986328
BA,COARACI,88990.53125,22274,3995.26000977
BA,MARCIONÍLIO SOUZA,41508.33203125,11061,3752.66992188
BA,QUEIMADAS,95227.765625,28729,3314.68994141
BA,ITABELA,201399.09375,26704,7541.91015625
BA,SALVADOR,32824228,2998056,10948.5
BA,JUSSIAPE,28544.64453125,8043,3549
BA,LENÇÓIS,52895.79296875,10112,5230.99023438
BA,ARAMARI,36618.66796875,9911,3694.75
BA,ILHÉUS,1925639875,219266,8782.20996094
BA,ANTÔNIO GONÇALVES,33189.3984375,11240,2952.79003906
BA,ABAÍRA,29147.60742188,8821,3304.34008789
BA,SOUTO SOARES,53800.0703125,19407,2772.19995117
BA,BARRO ALTO,41433.265625,14172,2923.60009766
BA,IBIPITANGA,43890.1875,14408,3046.23999023
BA,CANUDOS,53531.296875,15366,3483.75
BA,JOÃO DOURADO,97669.578125,21990,4441.54980469
BA,CRISTÓPOLIS,47487.671875,14279,3325.69995117
BA,RIBEIRA DO POMBAL,244964375,49263,4972.58007812
BA,RETIROLÂNDIA,54673.390625,11798,4634.12011719
BA,CALDEIRÃO GRANDE,43519.43359375,13922,3125.94995117
BA,SANTANA,116221.203125,27259,4263.58984375
BA,SANTO AMARO,307409.65625,58387,5265.04003906
BA,IRARÁ,126903.78125,25811,4916.64990234
BA,IBIRATAIA,104637.359375,24544,4263.25976562
BA,XIQUE-XIQUE,183536.203125,47470,3866.36010742
BA,RIO DE CONTAS,55162.2109375,13816,3992.62988281
BA,CAMACAN,147744.5625,31113,4748.64013672
BA,NOVA SOURE,79305.59375,26874,2951.02001953
BA,CANÁPOLIS,32292.515625,11136,2899.83007812
BA,LAMARÃO,30241.3203125,12995,2327.14990234
BA,SAUBARA,58806.34765625,11632,5055.56982422
BA,CONTENDAS DO SINCORÁ,18747.91796875,3886,4824.47998047
BA,MORPARÁ,34771.55859375,8871,3919.68994141
BA,PAU BRASIL,41465.12109375,12342,3359.67993164
BA,SÃO DESIDÉRIO,981035875,27513,35657.1796875
BA,AURELINO LEAL,57520.3515625,14280,4028.04003906
BA,CONDE,88530.46875,23166,3821.57006836
BA,BELMONTE,136881.390625,22553,6069.31982422
BA,POJUCA,688526.25,32225,21366.2109375
BA,BANZAÊ,36750.9375,11157,3293.97998047
BA,ITUBERÁ,132642.828125,24169,5488.14013672
BA,EUNÁPOLIS,1228962,99553,12344.79980469
BA,MANOEL VITORINO,49992.703125,14138,3536.05004883
BA,SANTO ESTÊVÃO,264766.96875,46855,5650.77001953
BA,NOVO HORIZONTE,37422.05078125,11092,3373.79003906
BA,DOM MACEDO COSTA,16689.80078125,3951,4224.20019531
BA,PONTO NOVO,59006.53125,14734,4004.79003906
BA,BOTUPORÃ,37949.63671875,11048,3434.97998047
BA,SANTA MARIA DA VITÓRIA,183714.421875,41758,4399.5
BA,PARIPIRANGA,130894.5703125,29727,4403.22021484
BA,CAPELA DO ALTO ALEGRE,39229.1484375,12824,3059.04003906
BA,JANDAÍRA,47592.953125,10018,4750.74023438
BA,PIATÃ,61809.6015625,18470,3346.48999023
BA,ARATUÍPE,31970.6171875,8822,3623.95996094
BA,ANTÔNIO CARDOSO,52209.5390625,12589,4147.22998047
BA,CORAÇÃO DE MARIA,98000.1328125,23774,4122.16015625
BA,ITAJUÍPE,114653.1328125,20490,5595.56982422
BA,SERRA DOURADA,73857125,17858,4135.79980469
BA,CONCEIÇÃO DA FEIRA,91810.5546875,20117,4563.83007812
BA,RIO DO PIRES,36504.28125,11612,3143.66992188
BA,ANTAS,54676.39453125,17583,3109.62011719
BA,BUERAREMA,100712.0234375,20830,4834.95019531
BA,BOQUIRA,67164.5625,22521,2982.31005859
BA,PALMAS DE MONTE ALTO,77169.4921875,22061,3498.01000977
BA,SANTA BRÍGIDA,52940.23828125,15652,3382.33007812
BA,ITAPEBI,170321.296875,12003,14189.88964844
BA,RAFAEL JAMBEIRO,96287.0234375,24004,4011.29003906
BA,BONINAL,40729.69921875,13857,2939.29003906
BA,MALHADA,65119.53125,16739,3890.29003906
BA,NOVA CANAÃ,66926.8984375,20311,3295.11010742
BA,UTINGA,83166.9765625,20448,4067.23999023
BA,UIBAÍ,45636.62109375,14203,3213.16992188
BA,POTIRAGUÁ,42641.50390625,9656,4416.06005859
BA,ENCRUZILHADA,109143.96875,20720,5267.56982422
BA,TAPIRAMUTÁ,73053.015625,17879,4085.9699707
BA,VEREDA,48446.7578125,7346,6594.97998047
BA,BARRO PRETO,27834.43945312,6417,4337.60986328
BA,IPUPIARA,31431.71484375,9325,3370.68994141
BA,ITAGI,52461.01171875,14162,3704.35009766
BA,MUCUGÊ,229213.171875,14714,15577.90039062
BA,IRAQUARA,105232.5078125,24415,4310.16015625
BA,JACARACI,49422.328125,14837,3331.02001953
BA,ITACARÉ,102075.2734375,27170,3756.90991211
BA,ITORORÓ,77047.1640625,20930,3681.17993164
BA,OUROLÂNDIA,76238.53125,17080,4463.60986328
BA,ARACATU,43216.1328125,14316,3018.72998047
BA,VITÓRIA DA CONQUISTA,3142676.75,318901,9854.70996094
BA,CONDEÚBA,64649.53125,17210,3756.51000977
BA,JACOBINA,523242.1875,79013,6622.22998047
BA,MASCOTE,57532.8671875,16590,3467.91992188
BA,CARDEAL DA SILVA,48083.140625,8618,5579.39013672
BA,JAGUAQUARA,246394.6875,48206,5111.29003906
BA,GANDU,173949.265625,31819,5466.83984375
BA,ITAGUAÇU DA BAHIA,49661.08984375,13269,3742.63989258
BA,CÂNDIDO SALES,93716.921875,27180,3448.01000977
BA,CÍCERO DANTAS,119276.578125,31832,3747.07006836
BA,BARRA DO MENDES,49816.65234375,14459,3445.37011719
BA,JEQUIÉ,1552451.5,150541,10312.48046875
BA,APORÁ,55787.8046875,18738,2977.26000977
BA,GUARATINGA,102757.34375,22960,4475.49023438
BA,MARACÁS,125397.140625,35990,3484.2199707
BA,LAFAIETE COUTINHO,17013.38867188,3502,4858.18994141
BA,TAPEROÁ,80988.609375,19388,4177.25
BA,SANTA LUZIA,51422.97265625,15613,3293.60009766
BA,CONCEIÇÃO DO COITÉ,292867.1875,62893,4656.58984375
BA,BIRITINGA,53547.6875,14260,3755.10009766
BA,IBIPEBA,58437.6796875,17666,3307.91992188
BA,ANAGÉ,74545.8046875,25262,2950.90991211
BA,IRECÊ,415895,66061,6295.62011719
BA,MEDEIROS NETO,148739.390625,22752,6537.41992188
BA,PLANALTO,110698.2578125,22151,4997.43994141
BA,SALINAS DA MARGARIDA,62426.8046875,14194,4398.10986328
BA,CAPIM GROSSO,121918.3125,27158,4489.22021484
BA,JUAZEIRO,1745979625,243896,7158.70996094
BA,DOM BASÍLIO,84668.9140625,11620,7286.47998047
BA,SAÚDE,41634.6484375,12355,3369.86010742
BA,CARAÍBAS,32104.37109375,10495,3059.02001953
BA,LAJE,128748.09375,22180,5804.68994141
BA,LAJEDINHO,19471.34375,4468,4357.95996094
BA,QUIJINGUE,92821.9609375,28143,3298.22998047
BA,JUCURUÇU,64516.0703125,10516,6135.04003906
BA,UBATÃ,101273.8515625,26355,3842.67993164
BA,TEIXEIRA DE FREITAS,1051444375,125430,8382.71972656
BA,TUCANO,169157.046875,49827,3394.88989258
BA,ALMADINA,26828.51171875,6621,4052.0300293
BA,MACURURÉ,24953.62890625,7834,3185.30004883
BA,MIGUEL CALMON,107699.890625,27724,3884.7199707
BA,SERRA DO RAMALHO,130961.890625,31809,4117.12988281
BA,RIBEIRÃO DO LARGO,63719.88671875,14528,4386.00976562
BA,BELO CAMPO,54279.22265625,15185,3574.5300293
BA,CANAVIEIRAS,142412.078125,37041,3844.70996094
BA,SÃO FRANCISCO DO CONDE,11437501,31699,360815.84375
BA,ITIÚBA,129550.7890625,36996,3501.75
BA,CAFARNAUM,61634.8046875,18314,3365.44995117
BA,CRAVOLÂNDIA,21624.3203125,5713,3785.11010742
BA,RODELAS,29632.92382812,7446,3979.70996094
BA,UAUÁ,95182.21875,25159,3783.22998047
BA,CAATIBA,34616.9453125,9450,3663.16992188
BA,MUCURI,1009100.1875,35501,28424.56054688
BA,EUCLIDES DA CUNHA,259546.765625,59193,4384.75
BA,NOVA FÁTIMA,27641.48828125,7964,3470.80004883
BA,URUÇUCA,80547.1640625,23237,3466.33007812
BA,PINDOBAÇU,62869.55859375,20854,3014.75
BA,LAJEDÃO,27027.58203125,3599,7509.75
BA,VÁRZEA DA ROÇA,45801.265625,15171,3019
BA,RIACHÃO DAS NEVES,260520.578125,23431,11118.62988281
BA,CACULÉ,114526.578125,22557,5077.20996094
BA,MILAGRES,42632.4140625,12092,3525.66992188
BA,SENHOR DO BONFIM,441113.46875,76113,5795.50976562
BA,NOVA VIÇOSA,248463.546875,36407,6824.60986328
BA,NILO PEÇANHA,60193.390625,13274,4534.68017578
BA,SANTA BÁRBARA,85315.9296875,20461,4169.68994141
BA,SAPEAÇU,70579.2578125,17087,4130.58007812
BA,IBIQUERA,17804.328125,5300,3359.31005859
BA,LICÍNIO DE ALMEIDA,51710.9609375,13205,3916.01000977
BA,CIPÓ,57489.546875,15758,3648.2800293
BA,UNA,108985.7265625,24650,4421.33007812
BA,IBITIARA,48967.69140625,16665,2938.36010742
BA,FIRMINO ALVES,20694.26171875,5864,3529.04003906
BA,SOBRADINHO,385661.53125,22026,17509.38085938
BA,GENTIO DO OURO,34065.65234375,11988,2841.64990234
BA,ITANAGRA,28108.08203125,6884,4083.10009766
BA,SÃO GONÇALO DOS CAMPOS,231667.328125,30724,7540.27001953
BA,CASA NOVA,301914.84375,66718,4525.24023438
BA,BOA VISTA DO TUPIM,75152.75,18298,4107.16015625
BA,JAGUARIPE,60391.05859375,17435,3463.7800293
BA,SEBASTIÃO LARANJEIRAS,45913.02734375,11421,4020.05004883
BA,JAGUARARI,263281.65625,30484,8636.71972656
BA,LAGOA REAL,41611.04296875,14510,2867.75
BA,MADRE DE DEUS,246407.75,16783,14681.99023438
BA,SÃO JOSÉ DO JACUÍPE,36806.5546875,11134,3305.7800293
BA,SENTO SÉ,147890.25,38735,3818
BA,MANSIDÃO,32635.74023438,12244,2665.44995117
BA,TEOFILÂNDIA,66410.25,21461,3094.45996094
BA,VARZEDO,39785.59765625,9451,4209.66992188
BA,IPECAETÁ,48456.55859375,15888,3049.87988281
BA,UBAÍRA,86636.703125,21428,4043.14990234
BA,URANDI,77405.5546875,16289,4752.00976562
BA,MUNDO NOVO,96220.46875,25245,3811.4699707
BA,CARAVELAS,205351.859375,22115,9285.63964844
BA,ITAPICURU,118382.15625,32563,3635.47998047
BA,ITARANTIM,82294.8125,18375,4478.62988281
BA,SEABRA,213669.90625,42175,5066.27001953
BA,CORRENTINA,637574.3125,32980,19332.15039062
BA,CATOLÂNDIA,22203.5390625,4059,5470.20019531
BA,TEODORO SAMPAIO,38678.0390625,8442,4581.62011719
BA,ITAPITANGA,38620.75390625,10376,3722.12011719
BA,RIBEIRA DO AMPARO,46314.48046875,14621,3167.66992188
BA,CAÉM,34143.12890625,10187,3351.63989258
BA,MACARANI,69146.0703125,16940,4081.82006836
BA,BARRA,147346.296875,50226,2933.66992188
BA,SANTA INÊS,35840.4296875,10803,3317.63989258
BA,PIRIPÁ,36582.48828125,13325,2745.39990234
BA,RIO REAL,202989.765625,38095,5328.50976562
BA,VERA CRUZ,207724.953125,37539,5533.58007812
BA,RIACHÃO DO JACUÍPE,125705.1484375,33666,3733.88989258
BA,SANTA CRUZ DA VITÓRIA,23149.640625,6443,3592.98999023
BA,WENCESLAU GUIMARÃES,144764.984375,24802,5836.83007812
BA,SANTA CRUZ CABRÁLIA,153209375,26250,5836.54980469
BA,SÃO FÉLIX DO CORIBE,68296.671875,13504,5057.50976562
BA,MATA DE SÃO JOÃO,303156.75,39585,7658.37011719
BA,NOVA ITARANA,24762.71875,7875,3144.4699707
BA,CASTRO ALVES,110339.4765625,24978,4417.47021484
BA,CAIRU,409264625,14736,27773.109375
BA,MIRANTE,26649.9296875,8375,3182.08007812
BA,GONGOGI,26375.15234375,6170,4274.74023438
BA,PORTO SEGURO,805236.4375,122896,6552.18017578
BA,IGAPORÃ,48868.1171875,14970,3264.39990234
BA,POÇÕES,216375.109375,46390,4664.25976562
BA,PALMEIRAS,33296.58203125,8437,3946.5
BA,JUSSARI,33357.0625,6914,4824.56982422
BA,AMÉLIA RODRIGUES,120464.75,24491,4918.74023438
BA,GUANAMBI,491441.5625,79886,6151.79003906
BA,ICHU,19514.67382812,6148,3174.14990234
BA,RIACHO DE SANTANA,136802.359375,30602,4470.37011719
BA,ANDORINHA,71736.671875,14201,5051.52001953
BA,TABOCAS DO BREJO VELHO,44926.98828125,12608,3563.37011719
BA,BROTAS DE MACAÚBAS,41737.30859375,10949,3811.9699707
BA,LAJEDO DO TABOCAL,47203.65234375,8999,5245.43017578
BA,PIRAÍ DO NORTE,36207.7734375,8818,4106.12011719
BA,MONTE SANTO,161170625,53429,3016.54003906
BA,MATINA,33801.07421875,13245,2551.98999023
BA,BARRA DO CHOÇA,287249.9375,31527,9111.24023438
BA,SÃO MIGUEL DAS MATAS,71017.234375,10675,6652.66992188
BA,ITAMBÉ,124283.6875,35512,3499.77001953
BA,GAVIÃO,15637.85742188,4507,3469.67993164
BA,SÃO GABRIEL,60514.3359375,19099,3168.45996094
BA,LAURO DE FREITAS,2672093.5,156936,17026.640625
BA,ITABUNA,2280732.75,213656,10674.79003906
BA,CANARANA,89429.9609375,25935,3448.22998047
