UF,CIDADE,PIB,POPULACAO,PIB_PERCAPITA,COD_TSE
PR,PORTO AMAZONAS,50780.390625,4348,11679.01953125,77810
PR,ASTORGA,252335.984375,25164,10027.66015625,74390
PR,CAMPO MAGRO,176644.953125,23607,7482.74023438,75205
PR,RONDON,168663.46875,9465,17819.69921875,78298
PR,LOBATO,131726.28125,4405,29903.81054688,76651
PR,JANIÓPOLIS,80220.6484375,6983,11487.99023438,76376
PR,FAROL,60915.0390625,3354,18161.91015625,74306
PR,REBOUÇAS,100907.65625,14637,6894.00976562,78077
PR,GUARATUBA,301245.90625,32806,9182.65039062,75876
PR,RIO BRANCO DO IVAÍ,42996.23828125,4006,10732.95996094,75620
PR,INDIANÓPOLIS,125971.84375,4258,29584.74023438,79618
PR,MARINGÁ,7284400.5,335511,21711.359375,76910
PR,COLOMBO,1866142625.0,247268,7547.04003906,75132
PR,CONTENDA,147587.84375,15728,9383.75976562,75213
PR,NOVA AMÉRICA DA COLINA,46741.29296875,3331,14032.20996094,77178
PR,SAUDADE DO IGUAÇU,326671.84375,5187,62978.9609375,75060
PR,SERTANÓPOLIS,281340.8125,16103,17471.33007812,79057
PR,CONGONHINHAS,77596.3203125,9035,8588.41015625,75175
PR,SIQUEIRA CAMPOS,160973.765625,17411,9245.51953125,79073
PR,LAPA,594210.5625,42933,13840.41992188,76570
PR,DIAMANTE D'OESTE,43355.59765625,5129,8453.03027344,75400
PR,MANDAGUAÇU,201923.65625,19270,10478.65039062,76759
PR,CAFEARA,33636.26953125,2853,11789.79003906,74659
PR,VERA CRUZ DO OESTE,98085.515625,9257,10595.8203125,79898
PR,IBAITI,255210.21875,29441,8668.53027344,75892
PR,PIRAQUARA,479121625.0,87285,5489.16015625,77690
PR,PAULA FREITAS,82812.2734375,5751,14399.62988281,77534
PR,CONSELHEIRO MAIRINCK,31834.11132812,3700,8603.80957031,75191
PR,NOVA PRATA DO IGUAÇU,111186.0703125,10822,10274.08007812,79952
PR,CAMPINA DO SIMÃO,40686.328125,4272,9523.95019531,75183
PR,CAMPO LARGO,1341769875.0,112548,11921.75976562,74810
PR,PITANGA,355735.15625,35052,10148.78027344,77712
PR,CURIÚVA,95654.953125,15217,6286.06005859,75370
PR,ALTÔNIA,141398.46875,20764,6809.79003906,79510
PR,TAMBOARA,47812.11328125,4804,9952.55957031,79090
PR,SALGADO FILHO,51527.42578125,4640,11105.04980469,78336
PR,ANTÔNIO OLINTO,66815.1640625,7750,8621.30957031,-
PR,SALTO DO LONTRA,116895.703125,12828,9112.54003906,78379
PR,MARILENA,49661875.0,6704,7407.79980469,79758
PR,GUARAQUEÇABA,52802.35546875,7843,6732.41992188,75850
PR,MARIÓPOLIS,98934.5390625,5944,16644.43945312,76937
PR,LARANJEIRAS DO SUL,289793.3125,31641,9158.79003906,76597
PR,TOLEDO,2426511.75,116774,20779.55078125,79278
PR,SÃO JOÃO,187602.453125,11187,16769.6796875,78719
PR,CAPITÃO LEÔNIDAS MARQUES,409720.78125,13870,29540.0703125,74896
PR,SAPOPEMA,51161.984375,6800,7523.81982422,78999
PR,OURIZONA,48806.203125,3380,14439.70996094,77291
PR,BOM JESUS DO SUL,30541.72265625,3879,7873.60986328,75167
PR,RIO NEGRO,571634125.0,31191,18326.890625,78239
PR,CANDÓI,200941.53125,16271,12349.66992188,74225
PR,RAMILÂNDIA,38851.65234375,4365,8900.71972656,74705
PR,CORONEL DOMINGOS SOARES,70627.1796875,7864,8981.08007812,75248
PR,NOVA OLÍMPIA,36311.59765625,5391,6735.60009766,79677
PR,ANDIRÁ,343282375.0,21964,15629.3203125,74195
PR,ARAPOTI,519706.75,26998,19249.8203125,74292
PR,LIDIANÓPOLIS,32365.92578125,4083,7927.0,74489
PR,TUNAS DO PARANÁ,43655.65625,6753,6464.62988281,74888
PR,SANTA FÉ,103898.0078125,10354,10034.58007812,78450
PR,IVAÍ,102136.7578125,13533,7547.24023438,76210
PR,APUCARANA,1511202.25,121290,12459.41015625,74250
PR,IRATI,682697.9375,56483,12086.79003906,76074
PR,MALLET,149617.28125,12784,11703.48046875,76716
PR,PEROBAL,67708.015625,5163,13114.08007812,75507
PR,BORRAZÓPOLIS,93202.4921875,8235,11317.84960938,74632
PR,MEDIANEIRA,637894.1875,39857,16004.5703125,77011
PR,DOUTOR CAMARGO,60953.90625,5753,10595.15039062,75434
PR,SERTANEJA,102978.7890625,5924,17383.3203125,79030
PR,JARDIM OLINDA,21127.85546875,1494,14141.79980469,76457
PR,RONCADOR,148181.59375,12309,12038.48046875,78271
PR,SALTO DO ITARARÉ,36764.2578125,5134,7160.93994141,78352
PR,BRASILÂNDIA DO SUL,49819625.0,3260,15282.08984375,74187
PR,MARIALVA,430093.0625,31397,13698.54003906,76872
PR,ENÉAS MARQUES,81526875.0,6066,13439.96972656,75450
PR,SANTA IZABEL DO OESTE,122608.90625,11747,10437.46972656,78514
PR,ABATIÁ,55714.39453125,7928,7027.54980469,74012
PR,RIO AZUL,150128.484375,13760,10910.5,78174
PR,PARAÍSO DO NORTE,102151.6015625,11939,8556.12988281,77410
PR,CÂNDIDO DE ABREU,182986.6875,18100,10109.75976562,74853
PR,SÃO MIGUEL DO IGUAÇU,452659625.0,26451,17113.140625,78891
PR,SANTO ANTÔNIO DA PLATINA,426821.1875,42002,10161.9296875,78590
PR,CAMBÉ,1529310625.0,97329,15712.79980469,74713
