450000,1
950000,2
4000000,175
500000,19
850000,1
12000000,2
25000000,2
-1,16
7000000,27
1750000,1
9000000,12
7850000,1
18000000,3
20000000,3
100000,1
1600000,1
23300000,1
8000000,23
3500000,28
30000000,5
35000000,1
15000000,6
690000,6
3000000,239
2250000,6
19500000,1
750000,5
4960000,1
34000000,1
550000,8
5500000,3
900000,8
5000000,143
1500000,118
650000,2
36000000,1
250000,1
65000000,1
943000,2
2400000,4
2800000,19
3600000,2
980000,1
59000000,1
600000,17
1000000,132
28000000,6
8500000,2
200000,1
300000,6
6000000,71
800000,10
11500000,1
11000000,3
16217864,1
2000000,250
1800000,6
2300000,7
1250000,7
10000000,27
700000,5
1400000,26
1480000,9
400000,4
4500000,36
26000000,1
42000000,1
1300000,2
16000000,1
2500000,64
1200000,30
90000000,3
9250000,1
85000000,1
383000000,1
64000000,1
0,3
1100000,1
24000000,3
