SC,39374,14259,0.36214253060395185
RO,7409,2717,0.3667161560264543
PI,29329,10559,0.36001909372975555
AM,10667,2792,0.26174182056810724
RR,2146,791,0.3685927306616962
GO,33152,12111,0.36531732625482627
MT,19617,7183,0.3661620023449049
ES,12288,4842,0.39404296875
PB,30399,11245,0.36991348399618407
RS,65043,23946,0.3681564503482312
MS,11868,4565,0.38464779238287833
MG,123132,46140,0.3747198128837345
PA,23495,9425,0.4011491806767397
BA,64254,25010,0.3892364677685436
SE,10413,880,0.08450974743109575
PE,31136,12622,0.40538283658787255
CE,30185,12053,0.3993042902103694
RN,22577,8343,0.369535367852239
RJ,30918,12991,0.420175949285206
MA,31352,12146,0.3874075019137535
DF,2847,1184,0.4158763610818405
PR,56199,21287,0.3787789818324169
AP,2372,903,0.38069139966273186
